año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,PEREZOSO DE ANTIFAZ,BRADYPUS VARIEGATUS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,CORAIS,DRYMARCHON CORAIS MELANURUS,1
2008,RISARALDA,PEREIRA,CUBA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,2
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,MARTINICA,PORPHYRULA MARTINICA (LINNAEUS),1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,2
2008,RISARALDA,PEREIRA,ASOCIACIÓN PROTECTORA DE ANIMALES,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,ASOCIACIÓN PROTECTORA DE ANIMALES,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,ASOCIACIÓN PROTECTORA DE ANIMALES,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,MAGNIROSTRIS,BUTEO MAGNIROSTRIS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,CERRITOS,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,MONO CARIBLANCO,CEBUS CAPUCHINUS,1
2008,RISARALDA,PEREIRA,TERMINAL DE TRANSPORTE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,3
2008,RISARALDA,PUEBLO RICO,SANTA CECILIA,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,GRANATENSIS,SCIURUS GRANATENSIS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,IGUANA,IGUANA IGUANA,1
